system,isomer,tot_en,n_atoms,rel_en_per_atom,Cu_Count,Zn_Count,Global_ECN_Avg,Global_ECN_Var,Cu_ECN_Avg,Cu_ECN_Var,Zn_ECN_Avg,Zn_ECN_Var,I_A,I_B,I_C,NPR1,NPR2,Asymmetry_Parameter,Core_Bond_Variance,S_sigma_Measure,Has_Anomaly,has_Cps,has_Mes,Mes_Centroid_Dist_Mean,Mes_Nearest_Core_Dist_Mean,has_CO2,CO2_Centroid_Dist_Mean,CO2_Nearest_Core_Dist_Mean,has_CpsCO2,CpsCO2_Centroid_Dist_Mean,CpsCO2_Nearest_Core_Dist_Mean,has_HCO2,HCO2_Centroid_Dist_Mean,HCO2_Nearest_Core_Dist_Mean,has_Cp,Cp_Centroid_Dist_Mean,Cp_Nearest_Core_Dist_Mean,has_Hex,Hex_Centroid_Dist_Mean,Hex_Nearest_Core_Dist_Mean,has_MesCO2,MesCO2_Centroid_Dist_Mean,MesCO2_Nearest_Core_Dist_Mean,has_H,H_Centroid_Dist_Mean,H_Nearest_Core_Dist_Mean,Cps_R2_mean,Cps_R3_mean,Mes_R2_mean,Mes_R3_mean,CO2_R2_mean,CO2_R3_mean,CpsCO2_R2_mean,CpsCO2_R3_mean,HCO2_R2_mean,HCO2_R3_mean,Cp_R2_mean,Cp_R3_mean,Hex_R2_mean,Hex_R3_mean,MesCO2_R2_mean,MesCO2_R3_mean,H_R2_mean,H_R3_mean,rel_en_absolute,z_score_energy,Mean_Dist_Cps_to_Nearest_Cu,Mean_Dist_Cps_to_Nearest_Zn,Mean_Dist_Mes_to_Nearest_Cu,Mean_Dist_Mes_to_Nearest_Zn,Cu_mu,Cu_rel_s_center,Cu_s_elec,Cu_var_s,Cu_rel_p_center,Cu_p_elec,Cu_var_p,Cu_rel_d_center,Cu_d_elec,Cu_var_d,Zn_mu,Zn_rel_s_center,Zn_s_elec,Zn_var_s,Zn_rel_p_center,Zn_p_elec,Zn_var_p,Zn_rel_d_center,Zn_d_elec,Zn_var_d,total_core_charge,Cu_mean_q,Cu_var_q,Cu_max_q,Cu_min_q,Cu_delta_q,Zn_mean_q,Zn_var_q,Zn_max_q,Zn_min_q,Zn_delta_q,homo,lumo,gap
7,012,-260294.35517922,55,0.0085133736365771,3,2,2.9202,0.4862816579999999,2.9764,0.6235926666666665,2.83595,0.2684794224999999,350.9428056049601,887.8530247986876,945.0077026005232,0.3713650213000557,0.9395193524406684,0.8075810299821078,0.0042211469553398,13.43519120511547,0,0,0,,,0,,,0,,,0,,,1,3.618611642716883,2.0707958280639964,0,,,0,,,0,,,,,,,,,,,,,0.58309782973549,0.5156591368353822,,,,,,,0.468235550011741,1.1764357232026352,,,,,-3.676088,-2.737568185877036,1.043503527887906,0.0489915639155658,-1.890473253223936,0.6067750799531888,0.0081454415964362,-0.8020254002804794,5.384788361477601,0.0084417733509708,-3.676088,-2.444907440779044,1.1631404530699267,0.0066401305279734,-1.5862075517990455,0.4075990856430457,0.0010643075722762,-3.684327552362917,19.2788195349728,0.0017540055575762,1.07855654,0.1894307033333333,0.002002146782301,0.25142991,0.14746324,0.1039666699999999,0.255132215,0.00013214065761,0.26662746,0.24363697,0.0229904899999999,-4.69741239,-2.65476274,2.0426496500000004
7,001,-260294.36814231,55,0.0082776810910383,3,2,2.9275,0.480256246,2.9745666666666666,0.6185135755555556,2.85685,0.2645559225000001,351.18683105875533,885.9270062269749,940.3817884537144,0.3734513315450502,0.9420929000376748,0.8151553011671945,0.0043240379384896,13.611811470082111,0,0,0,,,0,,,0,,,0,,,1,3.607253777922901,2.0782266352561245,0,,,0,,,0,,,,,,,,,,,,,0.5898271686211817,0.519560119632397,,,,,,,0.4552724600071087,1.1113796199339137,,,,,-3.66233,-2.7602214538691765,1.0420061283400277,0.0485316466275422,-1.913150844203224,0.6096001762806242,0.0065752682027124,-0.8241186250675163,5.384376694990535,0.0085096859788808,-3.66233,-2.468722092871727,1.1575404575238593,0.0069352317046187,-1.603418159967986,0.4103301835194504,0.0015079053722245,-3.700446043961418,19.304128274587537,0.0029938521131832,1.08274278,0.1905156866666666,0.0018936273924188,0.25101185,0.15048999,0.1005218599999999,0.25559786,0.000200468502516,0.26975655,0.24143917,0.0283173799999999,-4.68862534,-2.63603543,2.05258991
7,059,-260294.37243794,55,0.0081995787273626,3,2,3.3066,0.2707501580000001,3.585433333333333,0.1866088688888888,2.8883,0.10536516,388.1867465109788,736.288132139372,774.7062771714847,0.5010760309420494,0.9504094052621074,0.8012098122624666,0.0039378323815818,11.492154320525076,0,0,0,,,0,,,0,,,0,,,1,3.6751199819423945,2.0920489661151978,0,,,0,,,0,,,,,,,,,,,,,0.5520229962244946,0.500898739256576,,,,,,,0.4509768300049472,1.0898217237127985,,,,,-3.694337,-2.811483923983321,1.0508688702915123,0.0002816103174169,-1.7535547330459575,0.636670768816695,0.0009250283760409,-0.680885275401435,6.4972984374285865,0.0113373301761536,-3.694337,-2.3934831460328745,1.2151236801183471,0.1036489613825599,-1.700096512950111,0.4528820071890824,0.0139375784292498,-3.795446593009725,19.258359493363574,0.0002134354505036,1.02706627,0.15770244,5.260967195086654e-05,0.16531315,0.14794122,0.0173719299999999,0.276979475,0.001896349482939,0.32052657,0.23343238,0.08709419,-4.58874892,-2.79992499,1.7888239299999995
7,048,-260294.3761277,55,0.0081324921820355,3,2,3.0647,0.210132802,3.311433333333333,0.1979882755555555,2.69455,2.2562500000000304e-05,540.8746673949818,576.2556111084587,848.8114008069905,0.6372141878404979,0.678897114907499,-0.7702064101190655,0.0023079905165417,5.636688496270972,0,0,0,,,0,,,0,,,0,,,1,3.5631570274112447,2.499454569138144,0,,,0,,,0,,,,,,,,,,,,,0.8763810973600675,0.6189921160019448,,,,,,,0.4472870700119529,1.0713044252094894,,,,,-3.230698,-2.536326781403527,1.280925159168899,0.0477363161502176,-2.273867664006041,0.7935971739595922,0.0889038514036116,-0.8129053836215268,12.80065555405684,0.0011118175566288,-3.230698,-2.728995751650507,1.4131383794952317,4.497459578601667e-06,-2.083786109621632,0.6389506235078345,2.5752484315471625e-05,-4.608720730947745,19.440361688680795,1.2938606002338714e-05,1.11099818,0.1858916766666666,0.00030153060372,0.19909983,0.16135845,0.03774138,0.276661575,1.7836685222499653e-07,0.27708391,0.27623924,0.0008446699999999,-4.27606038,-2.18533543,2.09072495
7,003,-260294.37707184,55,0.0081153260004198,3,2,2.813,0.4462333640000001,2.9210333333333334,0.612232228888889,2.65095,0.1534680625,360.45383137422095,941.3945764253368,1005.8223059298416,0.3583673072760065,0.9359452170381686,0.8003381570540222,0.0077019298713405,12.827701272100786,0,0,0,,,0,,,0,,,0,,,1,3.589550323926164,2.354537350317679,0,,,0,,,0,,,,,,,,,,,,,0.768518340957393,0.5688540035440489,,,,,,,0.4463429300230928,1.0665661977811938,,,,,-3.753432,-2.5561130104842507,0.8860896147409877,0.0999180245730135,-2.014728963202673,0.5119285655126489,0.0256547592236291,-1.0020611009529858,3.00678746835579,0.0728342762336856,-3.753432,-2.2828788180291104,1.0229842198990022,0.0649160363233726,-1.966497386278439,0.3401395879673611,0.0072267790063895,-3.4081945254839043,19.33482257848689,0.0195747330598358,1.11570669,0.1959390866666666,0.0024385773735594,0.26575565,0.15958109,0.10617456,0.263944715,8.206502805062494e-05,0.27300369,0.25488574,0.0181179499999999,-4.80139337,-2.7054697,2.0959236700000003
7,041,-260294.38653122,55,0.0079433372731066,3,2,3.3387,0.36561893,3.6338,0.2366784066666666,2.896,0.2324204099999999,384.4902760269757,732.158873529378,741.3864609331133,0.518609788939299,0.98755360680296,0.948289795217832,0.0008290478270767,2.520009402461453,0,0,0,,,0,,,0,,,0,,,1,3.587967382309735,1.933450055325172,0,,,0,,,0,,,,,,,,,,,,,0.493983486886525,0.4749616182701596,,,,,,,0.4368835500208661,1.0190936891383444,,,,,-3.697943,-2.6932146889955333,1.1259760726851753,0.0002226567366196,-1.6857924583472337,0.6775464326866263,0.0012105577825194,-0.6576022449641417,6.945371210958979,0.1100218005108135,-3.697943,-2.5040310137363817,1.2276811052960568,0.0026607188493194,-1.569824363028649,0.4354293365148336,5.840529847212036e-05,-3.738324820072312,19.257075152738487,0.0079460944260278,1.02121599,0.17140922,7.104028611199975e-06,0.17503326,0.16869954,0.0063337199999999,0.253494165,0.000249043275021,0.26927527,0.23771306,0.03156221,-4.30218505,-3.09370042,1.2084846300000005
7,037,-260294.39270789,55,0.0078310341822957,3,2,3.185,0.4115888599999999,3.5264666666666664,0.2105926955555555,2.6728,0.2758350399999998,381.7386509602178,770.6084420876597,813.0467923071825,0.4695162130545502,0.9478033114193888,0.8032109939451232,0.0010595670772686,8.000088879519243,0,0,0,,,0,,,0,,,0,,,1,3.538025177504984,2.27192744760224,0,,,0,,,0,,,,,,,,,,,,,0.6894148754812804,0.5753181308188365,,,,,,,0.4307068800262641,0.9880956723937218,,,,,-3.610442,-2.7027536660260454,1.0809175007003404,0.0560059407056321,-1.7466347053190532,0.7328909822818633,0.0157878656510246,-0.7905964763982922,6.621486259684841,0.0257532219172405,-3.610442,-2.3712135815932003,1.1075336133441611,0.0219463490188773,-1.893782993459265,0.4197527539053751,0.0014981987528195,-3.693184917983845,19.43128376996054,0.0104676597738311,1.09520279,0.1805129533333333,0.0007349601664841,0.21833587,0.15616914,0.0621667299999999,0.2768319649999999,6.718105492402483e-05,0.28502837,0.26863556,0.0163928099999999,-4.74568627,-2.47519728,2.27048899
7,081,-260294.4034075,55,0.0076364958182569,3,2,3.1688,0.1706910919999999,3.3071333333333333,0.2366665355555555,2.9614000000000003,8.999999999999351e-06,520.970989869921,580.0078435755187,809.4598165173434,0.6436032762087811,0.7165369197336697,-0.5907165321328042,0.0001983033420906,4.64989385776235,0,0,0,,,0,,,0,,,0,,,1,3.506810283030846,2.510753365610898,0,,,0,,,0,,,,,,,,,,,,,0.866634287066135,0.6256645327406576,,,,,,,0.4200072700041346,0.934398989404869,,,,,-3.508279,-2.73156758655609,1.02801859065574,0.0055363747640274,-1.994744890148466,0.7264798307896817,0.124292444824813,-0.7407939157983927,6.334213371551008,0.0364863342327356,-3.508279,-2.2720805767788166,1.278334897838317,0.0057662860978387,-1.988133599973548,0.4374820695969503,0.0012926902798895,-3.942658703479837,19.35393712060584,0.0089785456703355,1.10706018,0.18748929,0.0004803494948032,0.20446537,0.15654276,0.04792261,0.272296155,0.000189377643717,0.28605761,0.2585347,0.02752291,-4.67369423,-2.34286431,2.33082992
7,022,-260294.42123985,55,0.0073122712730599,3,2,3.2418,0.3727137180000001,3.6099333333333337,0.1930925622222222,2.68965,0.1339926025,385.0089191228855,756.2663521257638,782.7767546803439,0.4918502201564588,0.9661328694342668,0.8667041415381076,0.0038289260340221,16.05499719731477,0,0,0,,,0,,,0,,,0,,,1,3.670828655403406,2.1069831451046634,0,,,0,,,0,,,,,,,,,,,,,0.5675911799313108,0.5079602824117636,,,,,,,0.4021749200182967,0.8449061908677836,,,,,-3.733782,-2.700609800006083,1.0482139743838563,0.0040116393629854,-1.6548678073844818,0.6498606538433814,0.0066731781314099,-0.7798084367968765,5.339255470219582,0.0641825991150541,-3.733782,-2.301445402488963,1.1943318914913132,0.0706862406554952,-1.567018565528048,0.4649528922540716,0.0117474333333445,-3.6810833121466815,19.239820493396937,0.0008224702791631,1.03080152,0.16016646,1.4605214120266644e-05,0.16556736,0.15729128,0.0082760799999999,0.27515107,0.0026367752582116,0.32650061,0.22380153,0.10269908,-4.69809121,-2.76947248,1.92861873
7,039,-260294.42399587,55,0.0072621618185869,3,2,3.244,0.367504204,3.608666666666666,0.1926898955555555,2.697,0.131044,384.4712086932629,755.8457432382438,782.7880781760805,0.4911561882611859,0.9655815722173324,0.8647190867270113,0.0038912042225063,16.017940720717743,0,0,0,,,0,,,0,,,0,,,1,3.671751975525164,2.10648676243578,0,,,0,,,0,,,,,,,,,,,,,0.5668056339930468,0.5076485851527794,,,,,,,0.3994189000222832,0.8310749267627557,,,,,-3.732274,-2.708002923087089,1.0466118338408803,0.0040054359102971,-1.6582180371365791,0.6499946928875739,0.0065743192893746,-0.7862522649841703,5.335654647270954,0.0658665306531053,-3.732274,-2.3055867751330275,1.1948589458194718,0.0735603840974626,-1.5746755963187984,0.4666037801003945,0.0121727174079176,-3.685784272086688,19.23755434637261,0.0009027702082845,1.02958235,0.15992669,1.5034999050200038e-05,0.16540888,0.15707746,0.00833142,0.27490114,0.00267234200809,0.32659584,0.22320644,0.1033894,-4.69521202,-2.76933521,1.92587681
7,036,-260294.42499269,55,0.0072440378182694,3,2,3.2686,0.4391160819999999,3.6435,0.2460620599999999,2.7063,0.20169081,374.9895292361642,748.2051629568286,750.8826434009263,0.4993983181416303,0.9964342224878568,0.9857540330311874,0.0017484236353091,5.447165206302121,0,0,0,,,0,,,0,,,0,,,1,3.659245684911461,2.093474080357342,0,,,0,,,0,,,,,,,,,,,,,0.5500017210618527,0.5030574030148307,,,,,,,0.3984220800048206,0.8260723212132145,,,,,-3.650895,-2.912419238648761,1.108359159354103,0.0010529676935944,-1.694478965911029,0.734915336364917,0.0037184779855577,-0.727255037455079,8.028473866992833,0.093472465553163,-3.650895,-2.254361193348125,1.2685822090747263,0.132942207116355,-1.7996388957532354,0.434631094262872,0.0028830168427964,-3.87599236748236,19.379620360135554,0.0010659092678739,1.03314414,0.1652434933333333,1.0340065883288868e-05,0.16806216,0.16074362,0.0073185399999999,0.2687068299999999,0.0016262128912688,0.30903316,0.2283805,0.0806526599999999,-4.39114655,-2.9106427,1.4805038500000005
7,055,-260294.43818314,55,0.0070042114546099,3,2,3.2532,0.4633511300000001,3.646700000000001,0.2420707466666668,2.6629,0.21455424,375.9919862980108,748.2063231604268,750.479107416758,0.501002602980144,0.9969715555917948,0.987861882942508,0.0014582808119522,2.769040540180162,0,0,0,,,0,,,0,,,0,,,1,3.663013925176752,2.092118532217638,0,,,0,,,0,,,,,,,,,,,,,0.5485996138953264,0.5011517165433791,,,,,,,0.3852316300035454,0.7598751971373018,,,,,-3.658971,-2.898102848193405,1.1125374157684749,0.0018980698788812,-1.6725478301266357,0.7430792760004118,0.0040353837561658,-0.7275267437778332,8.009969363930313,0.0970080588446698,-3.658971,-2.231467915692142,1.2716658299152288,0.1207410776412499,-1.7871761263600243,0.4317199425670384,0.0024185104051659,-3.861831207540182,19.372458361695607,0.0001553284319304,1.03319237,0.1647430533333333,1.3532670491822264e-05,0.16750122,0.15954384,0.00795738,0.269481605,0.0015845602287062,0.30928814,0.22967507,0.0796130699999999,-4.40214633,-2.91579589,1.4863504399999998
7,033,-260294.44065796,55,0.0069592147277117,3,2,3.2529,0.462793246,3.6460333333333335,0.2426500422222223,2.66325,0.2134902025,375.9963541298818,747.5837394116129,750.7141761366738,0.5008515438789696,0.9958300551334054,0.9832917649430392,0.0015002159396536,4.3979209566268525,0,0,0,,,0,,,0,,,0,,,1,3.6618210286401576,2.090428194288223,0,,,0,,,0,,,,,,,,,,,,,0.5485875602329673,0.5005209288399806,,,,,,,0.3827568100241478,0.7474551534522196,,,,,-3.655883,-2.904085190738547,1.112734024567152,0.0019126640589514,-1.675279198818422,0.7434791673497214,0.0041422227570395,-0.7312316221887096,8.003853019044486,0.0972248695675864,-3.655883,-2.2411568853529475,1.2720818602722372,0.1220278006897508,-1.791427093518319,0.4328785945102469,0.0026226274483582,-3.86889561205835,19.372073484087878,0.0001478283626461,1.0337227100000002,0.1646302966666666,1.3639646406155552e-05,0.16765466,0.15943038,0.00822428,0.26991591,0.0015808051172356,0.30967525,0.23015657,0.07951868,-4.40113264,-2.91063398,1.49049866
7,098,-260294.44985673,55,0.0067919643638147,3,2,3.2371,0.4831746580000001,3.6477333333333335,0.2400260155555556,2.621,0.2153888100000001,376.2425522887319,750.7279627855173,751.7258989565488,0.5005049750327671,0.9986724733411252,0.994684525000176,0.0017270860977289,0.0496975977515042,0,0,0,,,0,,,0,,,0,,,1,3.664158730656156,2.0995690853279703,0,,,0,,,0,,,,,,,,,,,,,0.5523399915674159,0.5022540900904873,,,,,,,0.3735580400098115,0.7012905328421615,,,,,-3.638044,-2.933874524013854,1.1110988716811083,0.0019782183408259,-1.6644084991373669,0.7531653978018777,0.0051794273402917,-0.7564817400531538,7.901169433326172,0.0835413213831089,-3.638044,-2.243426749984756,1.27024396317651,0.1400194572465778,-1.8234477044826791,0.4380533193994024,0.0020941042693,-3.8970960589857455,19.378684581708423,0.0008582280421652,1.03166884,0.1620838033333333,1.4992235438022204e-05,0.1651595,0.15662251,0.0085369899999999,0.272708715,0.0015689889375162,0.31231918,0.23309825,0.0792209299999999,-4.40543956,-2.87064845,1.5347911099999996
7,020,-260294.45118753,55,0.0067677680000832,3,2,3.2337,0.4878447039999999,3.6478,0.23945144,2.61255,0.2173890625,376.39979970644015,751.3148849895042,752.6220370539887,0.5001179625031886,0.9982632025105176,0.9930511706394588,0.0016895578028103,0.0412619321006277,0,0,0,,,0,,,0,,,0,,,1,3.665715132680752,2.0980216541576744,0,,,0,,,0,,,,,,,,,,,,,0.551376122341799,0.5012217304003609,,,,,,,0.3722272400045767,0.6946118271832769,,,,,-3.634341,-2.941912922932091,1.111752261565429,0.0020671920192185,-1.6634401268494514,0.7560717388487825,0.0055815470965977,-0.7630066664727027,7.877732648025634,0.086446695937254,-3.634341,-2.252023876560962,1.269464593199888,0.1399813891295992,-1.825023420500921,0.4378458540504999,0.0023648155466212,-3.903833933987501,19.375210338470595,0.0006004801019317,1.03185209,0.16177907,1.4540979601400012e-05,0.16474722,0.15639576,0.00835146,0.27325744,0.0015403073855625,0.31250419,0.23401069,0.0784935,-4.40627735,-2.86240485,1.5438725
7,014,-260294.45154138,55,0.0067613343639426,3,2,3.2393,0.4802664200000001,3.647266666666667,0.2406047488888889,2.62735,0.2156209225,376.1679292196562,750.807261654097,751.8050072526282,0.5003530511113673,0.9986728665160434,0.9946877150479612,0.0016959713114147,0.0434219864636134,0,0,0,,,0,,,0,,,0,,,1,3.666143639232396,2.0985300909743274,0,,,0,,,0,,,,,,,,,,,,,0.5512816640872182,0.501158483412142,,,,,,,0.3718733900168445,0.6928360081975783,,,,,-3.637129,-2.9395373866234387,1.1112025685864395,0.0016621594017543,-1.670567422045269,0.7530153395915149,0.0056695587236477,-0.7593696089247608,7.904457807348638,0.0882693384114475,-3.637129,-2.253725555549625,1.2694662453991017,0.1413747461865539,-1.824810291414612,0.4377199544056933,0.0025719367343942,-3.900191304480529,19.377629071346437,0.0007612910296114,1.03251433,0.1624424633333333,1.290067382295558e-05,0.16561639,0.15742102,0.00819537,0.27259347,0.0015125503279104,0.31148499,0.23370195,0.07778304,-4.40464765,-2.8696098,1.53503785
